idiom,count
piece of shit,14
pearls before swine,14
pearly whites,14
pebble in one's shoe,14
pecking order,14
pedal to the metal,14
pee in one's pants,14
pee one's pants,14
peel me a grape,14
peel out,14
peel the onion,14
peep of day,14
peg the needle,14
pen picture,14
penalty box,14
pencil in,14
pencil whip,14
pendente lite,14
penny for your thoughts,14
penny in the fusebox,14
penny pincher,14
penny wise and pound foolish,14
pearl of wisdom,14
pearl of great price,14
peanut butter,14
pay the fiddler,14
pay dividends,14
pay grade,14
pay heed,14
pay homage to,14
pay off old scores,14
pay one's debt to society,14
pay one's dues,14
pay packet,14
pay the bills,14
pay the freight,14
peaches and cream,14
pay the penalty,14
pay the piper,14
pay the price,14
pay the rent,14
pay through the nose,14
pea patch,14
Pea-time is past,14
peace through strength,14
peach fuzz,14
people mountain people sea,14
people person,14
people sit on chairs,14
pick up the threads,14
pick oneself up off the floor,14
pick out,14
pick someone's brain,14
pick up on,14
pick up one's marbles and go home,14
pick up stitches,14
pick up the pace,14
pick up the pieces,14
pick up the tab,14
pick up what someone is putting down,14
pick one's battles,14
pick your poison,14
pickin' and grinnin',14
picks and shovels,14
pics or it didn't happen,14
picture-postcard,14
pie in the sky,14
piece by piece,14
piece of ass,14
piece of cake,14
pick one's nose,14
pick on someone your own size,14
pep in one's step,14
personal capital,14
per curiam,14
per stirpes,14
Perfect is the enemy of good,14
perfect pitch,14
perfect storm,14
perish the thought,14
permanent shave,14
perp walk,14
person from Porlock,14
philosopher king,14
pick of the litter,14
phone box,14
phone in,14
phrasal prepositional verb,14
physical break,14
"Physician, heal thyself",14
pick apart,14
pick at,14
pick corners,14
pick holes,14
put him in to get him out,14
put one's hand in one's pocket,14
put in pledge,14
run into a brick wall,14
run late,14
run of play,14
run off,14
run off at the mouth,14
run off with,14
run on,14
run on empty,14
run on fumes,14
run one's name,14
run out,14
run out of steam,14
run out of town,14
run out the clock,14
run over,14
run it past (someone),14
run rampant,14
run riot,14
run scared,14
run someone off their feet,14
run someone ragged,14
run someone's file,14
run into the ground,14
run into,14
salty tooth,14
run in the family,14
run a temperature,14
run about,14
run across,14
run adrift,14
run afoul of,14
run amok,14
run and gun,14
run around,14
run around after,14
run around with,14
run at the mouth,14
run away from,14
run circles around,14
run down the clock,14
run dry,14
run for one's life,14
run for the hills,14
run for the roses,14
run high,14
run hot and cold,14
run in,14
run something up the flagpole,14
run the clock down,14
run the gamut,14
run the gauntlet,14
safe and sound,14
safe in the knowledge,14
safe pair of hands,14
safety cushion,14
safety net,14
safety valve,14
said no one ever,14
said the thing,14
sail close to the wind,14
sail the Red Sea,14
sail the high seas,14
sailor's mouth,14
salad bowl,14
salad days,14
salad years,14
salami slicing,14
sales resistance,14
salt away,14
salt in the wound,14
salt of the earth,14
salt the earth,14
saddle tramp,14
sad panda,14
sacred cow,14
run with scissors,14
run the rule over,14
run the show,14
run the table,14
run through,14
run to,14
run to earth,14
run up a debt,14
run wild,14
run with,14
"run, don't walk",14
sacked out,14
runners and riders,14
running and racing,14
running coupling,14
running start,14
runt of the litter,14
rush hour,14
rush in,14
rustle up,14
hit the sack,14
run a risk,14
run a mile,14
rumour has it,14
rough justice,14
roll tide,14
roll up on,14
roll up one's sleeves,14
roll up the sidewalks,14
roll with it,14
rolled into one,14
rolling in it,14
romp home,14
a roof over one's head,14
roof tree,14
room for doubt,14
room-temperature IQ,14
root about,14
root cause,14
rope of sand,14
rose garden,14
rose-colored glasses,14
rot in hell,14
rotten to the core,14
rough and ready,14
rough around the edges,14
roll out the pitch,14
roll the dice,14
roll tape,14
rocking horse shit,14
rock bottom,14
rock hard,14
rock on,14
rock out with one's cock out,14
rock solid,14
rock the boat,14
rocket science,14
rocket scientist,14
rocket surgery,14
rocky road,14
roll out the red carpet,14
to make a rod for one's own back,14
rod in pickle,14
rogues' gallery,14
roll back the years,14
roll in the aisles,14
roll in wealth,14
roll off the tongue,14
roll one's eyes,14
roll one's own,14
rough edges,14
rough out,14
rumor mill,14
rough patch,14
rub someone the wrong way,14
rub up the wrong way,14
rubber hose animation,14
rubber johnny,14
ruby slippers,14
ruck up,14
rue the day,14
ruffle some feathers,14
ruffle someone's feathers,14
rule OK,14
rule in,14
rules of engagement,14
rule of thumb,14
rule out,14
rule the day,14
rule the roost,14
rule the school,14
rules are made to be broken,14
rules are rules,14
rules of the game,14
rules of the road,14
rub shoulders,14
rub salt in the wound,14
rub salt in someone's wounds,14
round up,14
rough sledding,14
a rough trot,14
rough someone up,14
round and round,14
round of applause,14
round on,14
round the bend,14
round the clock,14
round trip,14
roving eye,14
rub one's hands together,14
row back,14
a row of pins,14
rub away,14
rub down,14
rub elbows,14
rub in,14
rub it in,14
rub off,14
rub off on,14
salto mortale,14
same difference,14
rob the cradle,14
see an argument,14
see eye to eye,14
see for oneself,14
see how lor,14
see into a millstone,14
see one's way clear to,14
see out,14
see beyond the end of one's nose,14
see red,14
see someone's etchings,14
see green in someone's eye,14
see stars,14
see the dark side of the moon,14
see the forest for the trees,14
see the glass half-empty,14
see the glass half full,14
see the light,14
see the light of day,14
can't see the forest for the trees,14
see things,14
see someone through,14
see what sticks,14
see daylight,14
see also,14
same here,14
see a man about a horse,14
sea change,14
sea legs,14
sea load,14
seagull manager,14
seal of approval,14
seal the deal,14
search me,14
seat at the table,14
the second Tuesday of the week,14
second banana,14
second childhood,14
in second gear,14
second nature,14
second string,14
secret handshake,14
secret sauce,14
secretary spread,14
security through obscurity,14
see Naples and die,14
see a man,14
see a man about a dog,14
see which way the cat jumps,14
see with half an eye,14
see yellow card,14
see you,14
seller's market,14
selling point,14
semper idem,14
Semper ubi sub ubi,14
send a message,14
send away,14
send away for,14
send back,14
send for a toss,14
send shivers down someone's spine,14
send someone packing,14
send someone to the showers,14
send to Coventry,14
send to the glue factory,14
send word,14
playing senior hurling,14
sense of craft,14
separate the wheat from the chaff,14
sequential analysis,14
sequential reaction,14
servabo fidem,14
sell-by date,14
sell the pass,14
sell the family silver,14
seize up,14
"see you later, alligator",14
"see you later, baked potato",14
see you tomorrow,14
see you when I see you,14
seed stock,14
Seek and ye shall find,14
seismic shift,14
seize the day,14
seize the opportunity,14
self-praise is no recommendation,14
sell someone a bill of goods,14
sell dearly,14
sell ice to Eskimos,14
sell in May and go away,14
sell like hot cakes,14
"sell my clothes, I'm going to heaven",14
sell one's life dearly,14
sell one's own grandmother,14
sell one's soul,14
sell oneself short,14
scum of the earth,14
scrub down,14
"screwed, blued and tattooed",14
scalding hot,14
say cheese,14
say goodbye,14
say grace,14
say hello to my little friend,14
say it ain't so,14
say it all,14
"say it, don't spray it",14
say less,14
say no more,14
say none,14
say nothing,14
say one's prayers,14
say someone's prayers,14
say that again,14
say the quiet part loud,14
say the word,14
say what,14
say what you like,14
say when,14
says me,14
says who,14
sawdust trail,14
saw wood,14
saved by the bell,14
save face,14
same old story,14
"same shit, different toilet",14
same to you,14
"same, same, but different",14
sand off,14
sandwich time,14
sankofa bird,14
sapiential books,14
save by the bell,14
save for a rainy day,14
save the furniture,14
save it,14
save one's breath,14
save one's strength,14
save someone's face,14
save someone's life,14
save something for a rainy day,14
save the best for last,14
save the day,14
save the drama for your mama,14
says you,14
the scales fall from someone's eyes,14
screwed up,14
scar tissue,14
scrape someone off the ceiling,14
scrape the bottom of the barrel,14
scrape through,14
scrape together,14
scratch an itch,14
scratch beneath the surface,14
scratch by,14
scratch one's head,14
scratch one's own itch,14
scratch that,14
scratch the surface,14
scratch together,14
scream bloody murder,14
scream the loudest,14
scream one's head off,14
screaming trots,14
"screaming, crying, throwing up",14
screen door on a submarine,14
screen out,14
screw off,14
screw the pooch,14
scrape along,14
scour out,14
score points,14
scared shitless,14
scare someone to death,14
scare story,14
scare straight,14
scare the hoes,14
scare the life out of,14
scare the living daylights out of,14
scare the pants off,14
scare up,14
scared green,14
scared stiff,14
score off (on someone),14
scared to death,14
scaredy pants,14
scarlet letter,14
a scholar and a gentleman,14
school of hard knocks,14
schoolboy error,14
Scientia potentia est,14
scope out,14
scorched-earth policy,14
robber baron,14
roar on,14
put in the ground,14
quick on the draw,14
quick study,14
Quidquid Latine dictum sit altum videtur,14
quiet as a mouse,14
quiet quitting,14
quit scores,14
quit while one is ahead,14
quite a bit,14
quite so,14
quoad sacra,14
quod erat demonstrandum,14
quod Google,14
quot homines tot sententiæ,14
quote unquote,14
rabbit hole,14
rabble-rouser,14
raccoon eyes,14
race against time,14
race against the clock,14
race out of the traps,14
race queen,14
race riot,14
quick read,14
quick on one's feet,14
rap and rend,14
quick off the mark,14
putty in someone's hands,14
puzzle box,14
puzzle out,14
puzzle over,14
puzzle through,14
quake in one's boots,14
quality over quantity,14
quantum leap,14
quantum tunnel,14
quantum tunneling,14
que sera sera,14
queen bee,14
queen mother,14
queen of beasts,14
queer bashing,14
queer someone's pitch,14
quelle surprise,14
question mark,14
quick as a flash,14
quick as lightning,14
quick buck,14
rack and ruin,14
rack off,14
rack one's brain,14
rack up,14
raise the dead,14
raise the flag and see who salutes,14
raise the line,14
raise the roof,14
raise the spectre,14
raise the stakes,14
raise to the purple,14
raised by wolves,14
raised fist,14
raised in a barn,14
rake in,14
rake over (old ground),14
rake over old coals,14
rake over the coals,14
rake together,14
rake up,14
rally around,14
rally round,14
rally round the flag,14
ram something down someone's throat,14
rank and file,14
raise the bar,14
raise someone's spirits,14
raise someone's hackles,14
rain pitchforks,14
rafter snapper,14
rag bagger,14
rain check,14
rain death,14
rain down,14
rain fire and brimstone,14
rain off,14
rain on someone's parade,14
rain or shine,14
rain stopped play,14
raise red flags,14
rainbow baby,14
rainbows and unicorns,14
rainy day,14
raise eyebrows,14
raise hell,14
raise one's eyebrows,14
raise one's glass,14
raise one's hand,14
raise one's voice,14
put-up job,14
put words in someone's mouth,14
put up with,14
put someone in a box,14
put one's finger on,14
put one's foot down,14
put one's foot in it,14
put one's foot in one's mouth,14
put one's foot in someone's ass,14
out of a nightmare,14
put one's hand to the plough,14
put one's heart in,14
put one's house in order,14
put one's legs under someone's mahogany,14
put one's mind to it,14
put one's money where one's mouth is,14
put one's name in the hat,14
put one's stamp on,14
put oneself across,14
put oneself in someone's shoes,14
put out a fire,14
put out feelers,14
put paid to,14
put it past (someone),14
put pen to paper,14
put one's feet up,14
put one's cards on the table,14
put one's best foot forward,14
put on a pedestal,14
put in the shade,14
put in with,14
put it into one's own head,14
put into practice,14
put it past,14
put it there,14
put lipstick on a pig,14
put new wine in old bottles,14
put on a clinic,14
put on airs,14
put one's ass on the line,14
put on frills,14
put on one's dancing shoes,14
put on the dog,14
put on the map,14
put on the red light,14
put on the ritz,14
put one over,14
put one past,14
put one's affairs in order,14
put some timber on,14
put someone in mind of,14
put up to,14
put someone in their place,14
put the plug in the jug,14
put the saddle on the right horse,14
put the same shoe on every foot,14
put the screws on,14
put the shoe on the other foot,14
put the toothpaste back in the tube,14
put the wood in the hole,14
put (someone) through,14
put through the mill,14
put through the wringer,14
put to bed,14
put to sleep,14
put to the sword,14
put to the test,14
put to work,14
put two and two together,14
put (someone) up to (something),14
put up a fight,14
put up one's dukes,14
put up or shut up,14
put up the shutters,14
put the pedal to the metal,14
put the moves on,14
put the hammer down,14
put something into perspective,14
put someone on blast,14
put someone on ice,14
put someone on to,14
put someone out of their misery,14
put someone through their paces,14
put someone to their trumps,14
put someone under,14
put someone's lights out,14
put something behind one,14
put a bad mouth on,14
put the genie back in the bottle,14
put the boot in,14
put the bottom rail on top,14
put the brakes on,14
put the cart before the horse,14
put the cat among the pigeons,14
put the clock back,14
put the clocks forward,14
put the cork back in the bottle,14
put the fear of God into,14
rant and rave,14
rap someone's knuckles,14
roar back,14
"riddle me this, Batman",14
riddle wrapped in an enigma,14
ride bitch,14
ride down,14
ride hard and put away wet,14
ride herd on,14
ride high,14
ride off into the sunset,14
ride on a rail,14
ride on the back of,14
ride someone's bumper,14
ride one's luck,14
ride out,14
ride roughshod over,14
ride shotgun,14
ride tall in the saddle,14
ride the coattails,14
ride the crest of the wave,14
ride the pine,14
ride the rails,14
ride the short bus,14
ride the tiger,14
riddle me this,14
ridden hard and put away wet,14
rat run,14
rid up,14
rest one's case,14
rest one's soul,14
result in,14
retrace one's steps,14
return the favor,14
return to form,14
return to one's muttons,14
returns to scale,14
rev up,14
revenge is a dish best served cold,14
revenge is sweet,14
reverse charge,14
reverse course,14
Revolutions are not made with rosewater,14
revolve around,14
rhyme off,14
no rhyme or reason,14
rice bowl,14
rich bitch,14
rickle o' banes,14
rid out,14
ride the wave,14
ride with the punches,14
rien ne va plus,14
rifle is fine,14
rip someone's head off,14
rip to shreds,14
rip-snorting mad,14
ripe old age,14
ripen up,14
rise and shine,14
rise from the dead,14
rise over run,14
rise to the challenge,14
rise to the occasion,14
rise to the purple,14
rise up,14
rise with the lark,14
risk it for the biscuit,14
risk one's neck,14
roach coach,14
road captain,14
road hog,14
the road less traveled,14
road map,14
the road to Damascus,14
rip someone's face off,14
rip off the bandage,14
rip off the Band-Aid,14
ring a bell,14
rig out,14
rig up,14
right away,14
right of Genghis Khan,14
right of way,14
right the ship,14
right you are,14
rightly or wrongly,14
"righty tighty, lefty loosey",14
ring down the curtain,14
rip it up,14
ring false,14
ring hollow,14
ring off the hook,14
ring one's bell,14
ring someone's bell,14
ring true,14
ring up,14
ringside seat,14
rip into,14
rest on one's laurels,14
rest in power,14
rest in piss,14
rearrange someone's face,14
read the car,14
read the green,14
read the room,14
ready and waiting,14
ready or not,14
ready to roll,14
ready up,14
"ready, fire, aim",14
"ready, willing, and able",14
the real McCoy,14
real life,14
real live,14
real men don't eat quiche,14
real quick,14
reality check,14
reality distortion field,14
reap the harvest,14
reap the whirlwind,14
reap what one sows,14
rear one's head,14
in the rear-view mirror,14
read someone's mind,14
read someone's lips,14
read someone to filth,14
razor's edge,14
rat's nest,14
ratione temporis,14
rattle off,14
rattle through,14
raw dog,14
raw material,14
ray of light,14
ray of sunshine,14
razor eye,14
razz someone's berries,14
read someone the riot act,14
reach for the sky,14
reach for the stars,14
read between the lines,14
read someone in,14
read lips,14
read minds,14
read my lips,14
read oneself in,14
read out,14
rearguard action,14
rearrange the deck chairs on the Titanic,14
rest in pieces,14
reason with,14
reflect upon,14
reheat someone's nachos,14
reign supreme,14
rein in,14
reinvent the wheel,14
release the handbrake,14
release the kraken,14
remain to be seen,14
rend one's garments,14
render unto Caesar,14
rent out,14
reopen old wounds,14
"repetition, repetition, repetition",14
requiescant in pace,14
requiescat in pace,14
res ipsa loquitur,14
reset the dial,14
respice finem,14
rest assured,14
rest easy,14
rest his soul,14
reel off,14
reel in,14
reduce someone to tears,14
red letter day,14
rebound relationship,14
recharge one's batteries,14
recipe for disaster,14
reckon without one's host,14
reclaim one's time,14
record book,14
red carpet,14
red flag,14
red herring,14
red light,14
rediscover fire,14
red line,14
Red Lives Matter,14
red meat,14
red mist,14
red rag to a bull,14
Red Rider,14
red tape,14
red wedding,14
redeem oneself,14
to speak out of both sides of one's mouth,14
or bust,14
out of,14
marriage penalty,14
marry me,14
marry off,14
