idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language,idiom_domain,idiom_register,slang_strength,regionality,generation_notes
syn_0de68c23193c9c39,thread dive,thread dive,,engaging deeply with a series of connected social media posts,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Expresses exploration of comment or tweet threads.
syn_343b8c358a3ef062,like farm,like farm,,an account or strategy that accumulates artificial likes rapidly,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,slang,medium,online_global,Metaphorical for rapid collection of likes.
syn_9d3691a4a3fabf5c,story sprint,story sprint,,quickly posting multiple stories in a short time frame,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Sporty metaphor for fast story sharing.
syn_afe9647eab2a080f,caption clutch,caption clutch,,a perfectly timed or witty social media caption,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Derived from sports slang meaning critical moment.
syn_fecf10cfa4f1fceb,share stash,share stash,,a personal collection of interesting content to repost,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Suggests hoarding content for sharing later.
syn_41109a6c6152f57d,troll toll booth,troll toll booth,,online spaces where trolls demand reactions or attention,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,slang,medium,online_global,Metaphor for sites provoking users to react.
syn_5a6ef78ea89a0316,profile prism,profile prism,,the way a social media profile reflects complex personality facets,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Figurative to illustrate multi-angle personality reflection.
syn_26bb1c94eff659d9,feed floodgate,feed floodgate,,opening the flood of new posts or updates in a feed,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Implies a sudden rush of social media updates.
syn_b6c2a8694a44cd9a,emoji echo chamber,emoji echo chamber,,a conversation filled with repetitive or similar emojis,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Combines 'echo chamber' concept with emoji use.
syn_c646087cd5b11fe2,viral seed drop,viral seed drop,,initial posting of content intended to become viral,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,online_global,Metaphor from planting seed leading to virality.
syn_36e0460122a90c19,profile pic parade,profile pic parade,,frequent changing or showcasing of profile pictures,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Suggests a showy display like a parade.
syn_51bb0f44f76ee564,stream scream,stream scream,,a passionate or loud outburst during live streaming,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Rhyming term for shouting in streaming context.
syn_15ca103328e89723,ping pong post,ping pong post,,rapid back-and-forth posting between users,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Metaphor for bouncing messages like ping pong.
syn_641454437b82399d,click trap,click trap,,a deceptive or overly tempting link designed to attract clicks,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Idiomatic for websites that ensnare users.
syn_dcc7dea67749f09c,reaction roulette,reaction roulette,,random or varied emotional responses to posts,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Suggests unpredictability in reactions received.
syn_97a0ece6af337766,share spiral,share spiral,,a post that keeps being continuously shared increasing its reach,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Spiral metaphor for growing share count.
syn_c0782caf929f52e0,thread trap,thread trap,,getting stuck reading a long or complicated social media thread,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Describes difficulty escaping a content thread.
syn_3a7053d169bb7c2a,emoji grenade,emoji grenade,,sending a sudden burst of many emojis simultaneously,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,slang,medium,online_global,Violent imagery for explosive emoji use.
syn_89c5c757f0dc1014,reply rabbit,reply rabbit,,quick and repetitive replying in conversations or threads,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Alludes to rabbits' prolific nature applied to replies.
syn_8116ab52120c2139,meme minefield,meme minefield,,a discussion or environment filled with potentially risky or controversial memes,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Dangerous terrain metaphor for meme use.
syn_428b6b024caf7630,thread snake,thread snake,,"a long, winding social media conversation that is hard to follow",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Snake metaphor for complex discussion form.
syn_edc041d625099436,profile parachute,profile parachute,,a backup or secondary online identity used for safety or anonymity,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,online_global,Invocation of safety device as metaphor for alternate profile.
syn_34236699ee8c8489,spam swamp,spam swamp,,an overwhelming amount of unwanted messages or posts,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Swamp metaphor for flooding by spam content.
syn_c5744f1b48e6317c,like ladder,like ladder,,a step-by-step gain in social media likes,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,online_global,Ladder metaphor to express gradual increase.
syn_051ba633a225a05c,ghost post,ghost post,,a social media post that receives no interaction or is ignored,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Term reflects a post being 'invisible' to audience.
syn_b173d97fee4bbc79,click avalanche,click avalanche,,a massive surge in clicks on an online content piece,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,none,online_global,Avalanche metaphor indicates overwhelming volume.
syn_f316f9bf11145565,stream snacking,stream snacking,,watching short segments of live streams casually,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Eating metaphor for brief content consumption.
syn_302dbe033055412f,profile petri dish,profile petri dish,,"a social media profile that attracts all kinds of interactions, including toxic ones",llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Metaphor from biology implying growth of diverse cultures.
syn_c2247c3cd8346989,hashtag hive,hashtag hive,,a concentrated group of posts using the same hashtag,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,online_global,Hive metaphor for a dense cluster of content.
syn_5221655e4a2fd74b,upload undercurrent,upload undercurrent,,a subtle trend or movement emerging through shared uploads,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Undercurrent metaphor suggests hidden or growing trend.
syn_82bbd10df8079d7d,caption cannon,caption cannon,,a powerful or very impactful social media caption,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Cannon metaphor stresses impact of text.
syn_137f3b300ebd91ce,ping barrage,ping barrage,,a rapid series of notifications or messages,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Military metaphor for heavy messaging.
syn_32af5b7f7407840a,comment cascade,comment cascade,,a rapidly growing number of comments on a post,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Cascade metaphor for flow and growth.
syn_7a8f5cf625b0f98b,sticky tweet,sticky tweet,,a tweet that remains prominently visible or widely remembered,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Sticky as staying power in attention.
syn_fd76e957f74036b2,bio blueprint,bio blueprint,,the carefully crafted personal description on a social profile,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Blueprint indicates planned construction of identity.
syn_115feb18d93f72b7,emoji floodgate,emoji floodgate,,a sudden outpouring of emojis in response to a message,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Floodgate symbolizes release of many emojis.
syn_cdb0714bab0edf4c,profile prism shift,profile prism shift,,changing the perception of a social media profile by altering content or presentation,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Prism shift evokes changing angles of perception.
syn_42c4ca688ed72cd7,dm doorbell,dm doorbell,,getting notifications of new direct messages,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,weak,online_global,Doorbell metaphor for message alerts.
syn_254be014c4efb6e0,thread tide,thread tide,,the natural ebb and flow of discussion in a social media thread,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,neutral,none,general_english,Tide metaphor suggests movement and change over time.
syn_0db06cacfa247f58,spam spiderweb,spam spiderweb,,a complex network of spam messages spanning multiple locations,llm_generated_inventory,synthetic_generation,phrase,internet_social_media,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,internet,informal,medium,online_global,Spiderweb metaphor for entangling spam.
syn_b16bcede11b6328e,burn the corporate candle,burn the corporate candle,,work long hours at the office,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Play on 'burn the midnight oil' but tailored to office environment.
syn_7992f6c139275336,icing the profit cake,icing the profit cake,,making an extra profit beyond expectations,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Figurative use of 'icing' to mean a bonus addition in profits.
syn_3cea7a292db50d21,riding the synergy wave,riding the synergy wave,,benefiting from cooperative teamwork,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Refers to getting advantage from synergy effects in collaboration.
syn_fc0e04b79bf19456,feeding the pipeline,feeding the pipeline,,generating or supplying ongoing work or prospects,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,american,Business metaphor about maintaining a flow of leads or projects.
syn_394aa50df9c7a059,chasing the golden handshake,chasing the golden handshake,,aiming for a lucrative severance package,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Evokes pursuing financial incentives upon retirement or resignation.
syn_965639a2d43ae2d4,dropping the kpi ball,dropping the kpi ball,,failing to meet key performance indicators,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Sports metaphor adapted to business performance context.
syn_17b96a3fb8b0a4a8,boxing in the budget corner,boxing in the budget corner,,being constrained by financial limits,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Sports idiom 'boxing in a corner' used to describe budget restrictions.
syn_b3019834a47315ca,playing the elevator pitch,playing the elevator pitch,,condensing an idea into a very brief presentation,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Relates to the well-known concept of a quick persuasive speech.
syn_921c916dd8d72be1,casting shadows on the brand,casting shadows on the brand,,damaging the company's reputation,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,formal,none,general_english,Metaphor for causing negative perceptions or doubts.
syn_4443c4eb06e1bce8,jumping the onboarding hurdle,jumping the onboarding hurdle,,successfully completing initial training or integration,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Uses hurdle race to describe early workplace challenges.
syn_74a0fa0d67b28fee,surfing the quarterly tide,surfing the quarterly tide,,adjusting strategies to shifting quarterly business results,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Metaphor for navigating financial periods and their fluctuations.
syn_74d6a6ab315afc29,pulling the feedback lever,pulling the feedback lever,,initiating or soliciting performance feedback,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Mechanistic metaphor emphasizing control over input flow.
syn_22d0e476f42aaff2,walking the wire of hierarchy,walking the wire of hierarchy,,managing responsibilities carefully within organizational ranks,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Metaphorical balance act analogous to a tightrope walk.
syn_3b6ee91799f3c58f,stacking the meeting deck,stacking the meeting deck,,arranging agenda or participants to influence outcomes,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Card metaphor about controlling situation in meetings.
syn_b057438f32b52807,whispering in the boardroom wind,whispering in the boardroom wind,,conveying unofficial information among executives,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,formal,none,general_english,Evokes subtle communication or rumors in high-level meetings.
syn_5131bbabb907136c,catching the deadline comet,catching the deadline comet,,meeting a deadline that is rare or challenging,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Celestial metaphor conveying rarity and speed.
syn_fb35fedaa894cca8,locking down the coffee break truce,locking down the coffee break truce,,agreeing to pause conflicts during informal work chats,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,War metaphor mixed with coffee break socializing.
syn_822a9e11bbb4e832,dropping the pivot brick,dropping the pivot brick,,initiating a major strategic change,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,'Pivot' concept combined with 'brick' for impact emphasis.
syn_712b94f750d3ecba,feeding the inbox monster,feeding the inbox monster,,creating a large backlog of emails,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,medium,general_english,Personifying the email system as a monster consuming messages.
syn_aacbc293ef798850,breaking the budget ice,breaking the budget ice,,starting to use allocated funds,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Play on 'breaking the ice' applied to budgets.
syn_0c64f2c25d82e795,playing corporate chess,playing corporate chess,,making strategic moves in business competition,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,formal,none,general_english,Chess metaphor emphasizes planning and strategy.
syn_20ef1cf3cf20606c,running the deadline marathon,running the deadline marathon,,enduring a prolonged period of meeting repeated deadlines,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Marathon metaphor for endurance in work pressure.
syn_511a8466aa699a00,putting the hustle hat on,putting the hustle hat on,,getting into a proactive work mode,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,medium,american,Slang phrase emphasizing active effort and drive.
syn_f51c0656cc980329,calling the email shot,calling the email shot,,taking initiative to send critical communication,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Sports metaphor about taking an important action.
syn_1b07030bf0db9748,wading through the spreadsheet swamp,wading through the spreadsheet swamp,,struggling to analyze or manage complex data,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Metaphor of difficulty moving through dense information.
syn_2bee778189df89c8,cracking the synergy code,cracking the synergy code,,discovering how to maximize team collaboration,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Puzzle metaphor for understanding cooperation gains.
syn_7325d75f24987e20,throwing shade on the quarterly report,throwing shade on the quarterly report,,criticizing the financial results,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,medium,american,'Throwing shade' as slang for criticism applied to reports.
syn_f76f4fc7a4461bf5,walking the audit tightrope,walking the audit tightrope,,navigating carefully through financial review processes,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Tightrope metaphor for delicate balance in audits.
syn_3cb31cfdc46ada98,spinning the vendor plates,spinning the vendor plates,,managing multiple suppliers simultaneously,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Metaphor from juggling acts to describe multitasking.
syn_4fc796a6dde295aa,sharpening the sales spear,sharpening the sales spear,,preparing strong sales tactics,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Weapon metaphor for readying sales approach.
syn_9661a7b91c144af2,setting the brainstorm sails,setting the brainstorm sails,,initiating creative idea sessions,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Nautical metaphor to describe starting creativity.
syn_fd474b986246a223,draining the productivity well,draining the productivity well,,overworking until resources or energy are exhausted,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Well metaphor for supply depletion applied to energy.
syn_c472435347dd14b7,stacking the innovation deck,stacking the innovation deck,,arranging ideas or resources to encourage innovation,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Card deck metaphor for organizing innovation efforts.
syn_cd07e36acda1d91b,kicking the deadline can,kicking the deadline can,,delaying a deadline or decision,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,american,Variation on 'kick the can' phrase applied to deadlines.
syn_ecc6d70b51ae27e5,walking the workflow tightrope,walking the workflow tightrope,,carefully balancing tasks without error,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Tightrope metaphor for managing multiple duties precisely.
syn_17db515e83ef8a63,dropping the memo bomb,dropping the memo bomb,,sending shocking or disruptive internal communication,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,medium,general_english,Bomb metaphor for sudden impactful memos.
syn_812b9f3ec0f39d43,feeding the conference beast,feeding the conference beast,,preparing extensively for meetings,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Personifying conference demands as a beast needing fuel.
syn_df00caa65f45dcf4,hustling down the corporate runway,hustling down the corporate runway,,actively advancing one’s career,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,medium,american,Runway metaphor conveying dynamic career progress.
syn_27102883bec0c26c,untangling the project knots,untangling the project knots,,solving complex problems in a project,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Knot metaphor for complicated issues.
syn_9ce1a13c9be95218,paddling the paperwork canoe,paddling the paperwork canoe,,dealing with excessive forms and documents,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Boat paddling metaphor for trudging through paperwork.
syn_a6c9f9d40375a63f,steering the stakeholder ship,steering the stakeholder ship,,managing different interests in a project,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Nautical metaphor for guiding group dynamics.
syn_0a91f6a894ca7b90,bankrolling the brainstorm bonfire,bankrolling the brainstorm bonfire,,funding or supporting creative sessions,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Bonfire metaphor for lively idea gathering.
syn_4413a2b4983252be,threading the compliance needle,threading the compliance needle,,making complex processes fully compliant,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,formal,none,general_english,Use of 'needle' metaphor for precision in regulations.
syn_26d2b6b0ffe06bd3,planting the incentive seeds,planting the incentive seeds,,starting programs to motivate employees,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,neutral,none,general_english,Agricultural metaphor for initiating motivation.
syn_bb2144b3dea974c5,riding herd on the remote team,riding herd on the remote team,,managing and overseeing remote workers,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,medium,american,Western metaphor meaning to organize or supervise.
syn_bc7e34cd03d06f67,tilting the meeting windmill,tilting the meeting windmill,,struggling against bureaucratic procedures,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,medium,general_english,Reference to 'tilting at windmills' implying futile efforts.
syn_8c3e0e50414ef2d1,building bridges in the inbox flood,building bridges in the inbox flood,,finding ways to manage overwhelming email,llm_generated_inventory,synthetic_generation,phrase,workplace_business,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,business,informal,weak,general_english,Metaphor of bridging obstacles amid email overload.
