idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence,source_url,record_origin,license_source,example_language,meaning_language,source_file,idiom_domain,idiom_register,slang_strength,regionality,generation_notes
syn_e590405646049327,hammer the drift,hammer the drift,,to emphasize the main point or idea,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_a6edb0c6aee32760,push the soft,push the soft,,to gently persuade or encourage someone,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_3900903a15f85e95,bend the hush,bend the hush,,to imply something secretly without saying it outright,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_a1bb78758a763bfa,drop the glow,drop the glow,,to end a positive or flattering impression,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_81d5d1ff08b98042,strike the cloud,strike the cloud,,to challenge a vague or uncertain situation,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_921535b8fe4208a7,hold the smoke,hold the smoke,,to keep mystery or secrecy,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_56e6519fcc403425,fold the mist,fold the mist,,to hide or obscure something deliberately,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_f063d1fb5918de7e,spin the cloak,spin the cloak,,to create a cover story or distraction,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_0728a6049b9546ac,trim the echo,trim the echo,,to reduce repeated or lingering effects,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_d9faec84bd49d73f,snap the breeze,snap the breeze,,to interrupt a casual conversation abruptly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_1a55585c8163c846,kick the drape,kick the drape,,to challenge established appearances or decorum,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_24d8b4043db6d8df,flip the hush,flip the hush,,to reveal a secret unexpectedly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_1b9e47e47e6e616c,climb the shadow,climb the shadow,,to explore or pursue unclear or secret matters,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_5e28b4655632fe59,rustle the calm,rustle the calm,,to disturb a peaceful atmosphere slightly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_70f7b9488763dc03,lace the storm,lace the storm,,to add complexity to an already tense situation,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_d2dc7a4e7d571302,wave the twist,wave the twist,,to signal a change in plans or expectations,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_fbc3f32deff53ef3,thread the vibe,thread the vibe,,to carefully influence the mood or emotion,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_e335266543068141,mark the flick,mark the flick,,to notice a quick movement or signal,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_9af83212458b3a77,spill the cuff,spill the cuff,,to reveal private or behind-the-scenes information accidentally,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_29fc0bb90df5f464,bite the silver,bite the silver,,to accept a minor but unpleasant truth,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_b53c8c887f4d21ef,tick the velvet,tick the velvet,,to handle delicate matters with care,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_7a97daa617221f7e,curl the thread,curl the thread,,to complicate a simple matter,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_d29c156c0ed2b549,pour the hush,pour the hush,,to induce silence or secrecy deliberately,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_e470d60910926b3e,lock the glance,lock the glance,,to make eye contact with strong intent,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_3288dfbbf3905214,flick the veil,flick the veil,,to remove ambiguity briefly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_92009213c9e4d492,spill the ember,spill the ember,,to reveal a small but potentially dangerous secret,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_238f414e924a3c9c,catch the drift,catch the drift,,to understand the general meaning or idea,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_888208c106a6a671,lash the shadow,lash the shadow,,to fight or struggle against an unseen or unknown problem,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_4786ee4b76309ec3,push the glow,push the glow,,to promote a positive image or feeling,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_0d3dc16bdc6e284d,flip the ember,flip the ember,,to reignite a past issue or feeling,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_621118321b946b5f,brace the chill,brace the chill,,to prepare mentally for an unpleasant experience,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_88c6ba79a674d819,spill the echo,spill the echo,,to share something that has been heard indirectly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_e521f2fe7f904dc3,ride the shadow,ride the shadow,,to follow or imitate someone secretly or discreetly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_c454117c53a8f911,drop the frost,drop the frost,,to release tension or cool atmosphere,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_672d435746ad4497,toss the shimmer,toss the shimmer,,to throw away superficial charm or impression,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_78198a3657adea99,stamp the silent,stamp the silent,,to forcibly end quietness or secrecy,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_2e4185c06aafb915,trace the murmur,trace the murmur,,to follow the source of a subtle sound or rumor,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_871948921874c867,break the shimmer,break the shimmer,,to shatter an illusion or false impression,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_f18c3253cb2b87dd,claw the mist,claw the mist,,to try to understand something unclear or confusing,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_da4da7a4143edd69,drown the buzz,drown the buzz,,to suppress excitement or rumors,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_7608db6e19398ebd,wear the ripple,wear the ripple,,to carry the consequences of small actions,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_80cd347d21b9c3a0,shake the veil,shake the veil,,to agitate hidden truths or feelings,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_764452cdc5d586ed,catch the flick,catch the flick,,to notice a brief event or movement,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_61b68d7e368b7c74,climb the hush,climb the hush,,to engage cautiously in secretive matters,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_cf8edffa60df2956,flip the frost,flip the frost,,to change a cold attitude to warm or vice versa,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_8427c4d2922879ae,ride the ember,ride the ember,,to keep a spark of hope or interest alive,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_fd3155a630103dca,lace the hush,lace the hush,,to add complexity or layers to secrecy,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_bca372684eb9afa0,press the flicker,press the flicker,,to emphasize a brief or subtle indication,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_03824ef2cd9dc6c1,toss the murmur,toss the murmur,,to spread a quiet rumor or gossip,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_04b7efdaa2d2542d,climb the ripple,climb the ripple,,to follow small changes or movements,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_0c44e8dd84f10125,snap the ember,snap the ember,,to suddenly extinguish a small hope or feeling,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_5ac40796997ea8d3,curl the frost,curl the frost,,to conceal coldness or hostility beneath a composed exterior,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_8957f3340f2a6723,mark the hush,mark the hush,,to take note of a silence or secret,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_4c9351d495ac6b57,break the ember,break the ember,,to destroy a small remaining hope or chance,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_9acbdd8732b5784f,trace the flicker,trace the flicker,,to follow a brief indication or glance,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_cdfb2665eb2b2504,hold the flick,hold the flick,,to maintain a brief but significant connection or sign,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_2a1347c25d70d269,wave the ember,wave the ember,,to signal faint hope or persistence,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_af4b0e987cd18181,dust the shadow,dust the shadow,,to remove traces of something hidden,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_3fbb25507d1b1434,push the ripple,push the ripple,,to amplify a small effect or trend,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_6f6539a737163281,hold the weave,hold the weave,,to maintain the complex or delicate nature of a situation,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_f24e0cf3e5616c44,flip the glance,flip the glance,,to change the direction or target of attention swiftly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_172b226a89b994e8,strike the hush,strike the hush,,to enforce silence or secrecy suddenly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_611fb33504a89b99,twist the echo,twist the echo,,to distort repeated information or rumors,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_a85023644555ac78,lace the flicker,lace the flicker,,to add subtle details to a brief moment,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_0a7e52eeb0b4a1fe,curl the hush,curl the hush,,to make silence thick or tense,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_30410993954ab1ef,toss the ember,toss the ember,,to discard hope or a small chance,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_47e9734ae767c6ea,trace the glow,trace the glow,,to follow the trail of a subtle positive sign,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_698f28d735b8cb87,spill the frost,spill the frost,,to reveal cold or unfriendly feelings,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_280799446fdf61bc,snag the whisper,snag the whisper,,to catch a secret or subtle communication,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_cc12737c0463eb39,brush the shadow,brush the shadow,,to briefly confront or acknowledge a hidden issue,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_0126e96477a2e684,ride the flicker,ride the flicker,,to maintain a brief moment of interest or attention,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_d71e064782e9d509,kick the silence,kick the silence,,to break a quiet or awkward moment abruptly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_6e819cf5fe25adc1,drift the glow,drift the glow,,to gradually lose enthusiasm or positivity,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_a6dcd3ed032a8057,cloak the ember,cloak the ember,,to hide a small but intense feeling or issue,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_6ab2acd6899b483c,catch the shimmer,catch the shimmer,,to notice subtle beauty or attraction,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_8c2006cfc58bc590,press the shadow,press the shadow,,to emphasize or pursue a hidden concern,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_479ded5536c662b7,trip the whisper,trip the whisper,,to accidentally reveal a secret or hint,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_b7fa35e4910bb498,flick the drift,flick the drift,,to change the general direction or mood suddenly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_36916b01522db540,juggle the ember,juggle the ember,,to manage a risky or delicate situation,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_c76c6bc299db70fe,lash the mist,lash the mist,,to struggle against confusion or obscurity,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_0b955928dd4617ae,cast the flicker,cast the flicker,,to create a brief impression or doubt,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_9030a36bbd2191ee,hold the glint,hold the glint,,to preserve a small sign of hope or joy,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_3803e9ee8280de9a,fade the gloss,fade the gloss,,to reduce a superficially attractive appearance,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_a5d70da0cdc3e4ce,climb the echo,climb the echo,,to explore repeated information or consequences,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_af32aa9190907e72,paint the hush,paint the hush,,to decorate or disguise silence,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_c04eb6c63aa5cf4b,spin the ember,spin the ember,,to craft stories about a small truth or feeling,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_36bd74500cc6a92c,drift the frost,drift the frost,,to carry cold or distant feelings subtly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_54eab010464cfa3a,toss the shadow,toss the shadow,,to dismiss suspicion or doubt lightly,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_5a0060f04edda936,lace the glow,lace the glow,,to add subtle positive details,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_663ff154abd56e21,curl the flicker,curl the flicker,,to distort or complicate a brief indication,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_d2feed664740526b,tug the mist,tug the mist,,to try to clear confusion or uncertainty,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
syn_b6b1ae567d77f7d2,whip the hush,whip the hush,,to provoke quietness or stealth,llm_generated_inventory,synthetic_generation,phrase,everyday_conversation,0.7,synthetic,synthetic_generation_pipeline,synthetic_llm,en,en,synthetic_pre_enrichment_dataset_v1.csv,,,,,
