idiom_id,idiom_canonical,idiom_surface,example,idiom_canonical_meaning,source,source_type,pos,tags,idiom_confidence_score,record_origin,license_source,example_language,meaning_language
idiomx_000018,Asian don't raisin,Asian don't raisin,"And for a bit of levity, ""Asian don't raisin,"" so, like vampires, we don't age.",People of Asian descent show fewer physical signs of aging.,kaikki_wiktionary,dictionary,phrase,slang,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000019,Attic salt,Attic salt,"His [Lucan's] wit, ſays Ablancourt, was full of urbanity, that Attic ſalt which the French call fine raillery; not obſcene, not groſs, not rude, but facetious, well-mannered, and well-bred.",Pointed and delicate wit.,kaikki_wiktionary,dictionary,noun,"idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000020,Augean stables,Augean stables,"Yea, as yee loue your ovvne life, peace, vvelfare; Rouze vp your ſpirits, avvaken your Chriſtian courage, and ſet your ſelues heartily againſt the traitorly ſinnes of theſe times, vvhich threaten the bane of all theſe. Cleanſe yee theſe Augean''' ſtables of our drunken Tauernes, of our profane ſtages, and of thoſe blinde Vaults of profeſſed filthineſſe, VVhoſe ſteppes goe dovvne to the chambers of Death; yea, to the deepe of Hell.",A place or situation characterized by corruption or moral decay.,kaikki_wiktionary,dictionary,noun,"figuratively, idiomatic, plural, plural-normally",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000021,Avada Kedavra,Avada Kedavra,"Better be careful, witch, it sounds like he’s about to Avada Kedavra this relationship.",To destroy (something).,kaikki_wiktionary,dictionary,verb,"figuratively, humorous, transitive",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000022,Barkis is willin',Barkis is willin',"If Barkis is willing, then a certain gentleman as we know in the meat trade may suit himself elsewhere. Come; answer that. Is Barkis willing?",Somebody has a sweetheart they wish to marry.,kaikki_wiktionary,dictionary,phrase,"colloquial, dated, humorous",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000023,Ben Sira,Ben Sira,,an Apocryphal book mainly of maxims (resembling Proverbs in that respect),wordnet,lexical_database,n,,0.7,source_only,wordnet,en,en
idiomx_000024,Benjamin Button,Benjamin Button,"Wouldn't it be nice to have some variety in the whole ""we get older the longer we are alive"" cliche? For instance, what if we Benjamin Buttoned? That is, wouldn't you want to be born old and with the mind of an infant, then get physically younger as you matured?","To seemingly age in reverse; to appear younger, either through changes in appearance or one's personality and lifestyle.",kaikki_wiktionary,dictionary,verb,"idiomatic, informal, intransitive, transitive",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000025,Big Bad Wolf,Big Bad Wolf,,Someone blamed for causing problems; a scapegoat.,kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000026,"Bim, BEM, Bum","Bim, BEM, Bum",,Retro art composition; composition stereotypical of the cover art of mid-20th-century science fiction pulp magazines.,kaikki_wiktionary,dictionary,phrase,slang,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000027,Bob's your uncle,Bob's your uncle,"Insert the plug, press the switch, and Bob's your uncle.","No problem, the solution is simple, there you have it, it's that easy, you have what you want, all will be well: indicates a desirable conclusion has been reached with ease.",kaikki_wiktionary,dictionary,phrase,"Commonwealth, Ireland, UK, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000028,Book of Proverbs,Book of Proverbs,,an Old Testament book consisting of proverbs from various Israeli sages (including Solomon),wordnet,lexical_database,n,,0.7,source_only,wordnet,en,en
idiomx_000029,Bravo Zulu,Bravo Zulu,,Well done; good job.,kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000030,Broken Arrow,Broken Arrow,"The FAC urgently sends over his radio a cry for help: ""Broken Arrow! Broken Arrow!' His message unleashes all available close air support in South Vietnam on a priority basis.",A code phrase indicating that a ground unit is facing imminent destruction from enemy attack and all available air forces within range are to provide air support immediately.,kaikki_wiktionary,dictionary,phrase,US,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000031,Brownian motion,Brownian motion,The sun was hot on my legs. I moved out of the doorway and stood in the room with my thoughts in Brownian motion.,A state of chaos or disarray.,kaikki_wiktionary,dictionary,noun,"countable, idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000032,Buckley's and none,Buckley's and none,,"A supposed two chances (probabilities), being Buckley's chance (meaning a very small chance) or no chance at all.",kaikki_wiktionary,dictionary,noun,"Australia, idiomatic, informal",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000033,Buckley's chance,Buckley's chance,"""So he has a chance,"" said Connie. ""Buckley's chance, the way his luck is. Fell out with his girl he did, and lost his job, and now 'e's goin' to lose 'is life. The unluckiest man that ever lived.""",A very small chance; no chance at all.,kaikki_wiktionary,dictionary,noun,"Australia, idiomatic, informal, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000034,Burma Road,Burma Road,"A “Burma Road” for Africa, or, in fact, a pair of “Burma Roads,” may develop from the current improvement of British and Free French roads across Central Africa.",An important military supply route.,kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000035,Cadillac problem,Cadillac problem,"My sponsor, when I present him with a nagging problem (usually trivial, although blown out of proportion in my warped mind), invariably replies, ""Lou, that's a Cadillac problem. Read page 417, and get grateful for what you have … now!""",An insignificant problem of a privileged person.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000036,Caesar's wife must be above suspicion,Caesar's wife must be above suspicion,,Those in positions of authority should avoid even the implication of impropriety.,kaikki_wiktionary,dictionary,proverb,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000037,Cali or bust,Cali or bust,"Many more are coming to the same realisation as Fox: ""Cali or bust"". But this is at the expense of other tech hubs. Boston, for example, was once tipped to be the hub Silicon Valley has become. While it is still a major player, particularly in med tech, for various reasons, California came out on top.","Expressing a desire to work for a company in Silicon Valley, California (especially a FAANG company).",kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000038,Cave of Adullam,Cave of Adullam,"[…] but what shall we say of the sects which, coming late with forces weak in number and intellect, feed upon the refuse of the Church? They form caves of Adullam and call them churches.",A place or group in which people who have met failure or defeat in some way are said to congregate.,kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000039,Chicago overcoat,Chicago overcoat,"‘Go ahead and blast and see what it gets you.’ ‘A Chicago overcoat is what it would get you, little man.’",death; being killed or murdered.,kaikki_wiktionary,dictionary,noun,"broadly, figuratively",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000040,China syndrome,China syndrome,And then there is the China syndrome. […] China now represents about 20% of Korea's total trade.,"A behavior, policy, or situation characteristic of or involving China; an actual or potential catastrophe, especially one involving China.",kaikki_wiktionary,dictionary,noun,"countable, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000041,China's final warning,China's final warning,,A warning that carries no real consequences; an empty threat.,kaikki_wiktionary,dictionary,noun,"Internet, humorous, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000042,Chinaman's chance,Chinaman's chance,"And if I weren’t here now, Driscoll and Ann wouldn’t have a Chinaman’s chance.’",No chance; zero possibility.,kaikki_wiktionary,dictionary,noun,"idiomatic, offensive",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000043,Chinese Wall,Chinese Wall,"I concur in the opinion of Justice Haning, but write separately to comment on the apparently widespread use of the term ""Chinese Wall"" to describe the type of screening mechanism discussed in this case. While our opinion uses the term ""screen,"" both the parties and the trial court used the term ""Chinese Wall,"" which seems to have become a term of art. I write to express my profound objection to the use of this phrase in this context.","An information barrier within an organization, designed to ensure internal confidentiality; frequently used to prevent conflicts of interest.",kaikki_wiktionary,dictionary,noun,"idiomatic, jargon",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000044,Chinese compliment,Chinese compliment,,A pretense of deference; a veiled or subtle insult.,kaikki_wiktionary,dictionary,noun,"idiomatic, slang",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000045,Chinese overtime,Chinese overtime,,Any form of overtime in which increasing the hours worked reduces the hourly rate.,kaikki_wiktionary,dictionary,noun,"US, idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000046,Chinese puzzle,Chinese puzzle,,A senseless situation.,kaikki_wiktionary,dictionary,noun,"figuratively, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000047,Chinese water torture,Chinese water torture,The growth of subsidies is a Chinese water torture on individual liberty.,Any repeated irritation that builds to deliver cumulative damage.,kaikki_wiktionary,dictionary,noun,"broadly, idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000048,Chinese whispers,Chinese whispers,"The UN would rather not be associated with blowing mosques to smithereens in a part of the world where propaganda is everywhere, and information spreads like Chinese whispers.",Any situation where something is changed or misunderstood as a result of passing through successive people or processes.,kaikki_wiktionary,dictionary,noun,"broadly, figuratively, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000049,Christian soldier,Christian soldier,The Christian Soldier should never fail to read his Bible;,"A devout and zealous Christian, especially one who proselytizes.",kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000050,Christmas come early,Christmas come early,"It is true, Ma? Is it true? A Thanksgiving basket? […] It's like Christmas come early! [She joins her sisters at the table. All three sisters sit, stare hungrily at the basket]","Something very delightful or fortunate that is happening or has happened, especially earlier than expected.",kaikki_wiktionary,dictionary,noun,"Ireland, UK, idiomatic, uncountable, usually",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000051,Christmas comes but once a year,Christmas comes but once a year,"At Christmas play and make good cheere, / For Christmas comes but once a yeere.","Used to emphasize the annual distinctiveness of Christmas, especially in contexts where either the special joys or tribulations of the holiday are described.",kaikki_wiktionary,dictionary,proverb,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000052,Christmas comes early,Christmas comes early,"Then he [Viserys I Targaryen] turns to Rhaenys, who, he reasonably argues, is the best authority on what her husband would want. And Christmas comes early for Rhaenyra, because not only has her dad come out to support her family, but her aunt also backs Luke [Lucerys Velaryon]'s claim—and accepts her niece’s offer of a Targaryen-Velaryon double wedding.","Something very delightful or fortunate happens, especially earlier than expected.",kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000053,Christmas is coming,Christmas is coming,,Used as a reminder or warning regarding an impending deadline.,kaikki_wiktionary,dictionary,phrase,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000054,Christmas tree bill,Christmas tree bill,,"A bill consisting of many riders that attracts many, often unrelated, floor amendments, which may provide special benefits to various groups or interests.",kaikki_wiktionary,dictionary,noun,"US, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000055,Clapham Junction,Clapham Junction,"When they had reached this Clapham Junction of the local highway system, Mr. Hayward halted a moment in doubt , and pointed ahead inquiringly to one out of the three main routes that branched off in various directions .",Somewhere where many paths – either literal routes of travel or metaphorical lines – cross.,kaikki_wiktionary,dictionary,noun,"figuratively, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000056,Crimea river,Crimea river,,A sarcastic and unsympathetic response to someone who is complaining or whining.,kaikki_wiktionary,dictionary,phrase,"Internet, derogatory, humorous",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000057,Dagwood sandwich,Dagwood sandwich,As one of Groucho Marx's writers told it: an unemployed actor was interrupted at breakfast by his wife carrying a Dagwood sandwich of unpaid bills.,A thick stack of flat objects or a complicated melange of diverse components or ingredients.,kaikki_wiktionary,dictionary,noun,"broadly, figuratively",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000058,Daniel come to judgement,Daniel come to judgement,"A Daniel come to judgment! Harriet, the Superintendent has caught the hang of our half-witted manner of conversation.",One who wisely settles a difficult matter.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000059,Darby and Joan,Darby and Joan,"""[…] he told me that he and your mother, when they travel together, are always mistaken for a honeymoon couple. Some of the experiences he related to me were really quite amusing."" The stranger laughed at recollection of them—""that even here in this place, they are generally referred to as 'Darby and Joan.'""",A proverbial married couple content to share a quiet life of mutual devotion.,kaikki_wiktionary,dictionary,noun,"plural, plural-only",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000060,Delhi belly,Delhi belly,,"Digestive illness or diarrhea, especially if suffered by a visitor to India.",kaikki_wiktionary,dictionary,noun,"idiomatic, informal, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000061,Delivered Ex Quay,Delivered Ex Quay,,The seller pays for all transportation and insurance until the goods have been unloaded at the port of destination.,kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000062,Delivered Ex Ship,Delivered Ex Ship,,The seller pays for all transportation and insurance until the transporting ship has arrived at the port of destination.,kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000063,Derangement Syndrome,Derangement Syndrome,,The acute onset of paranoia in otherwise normal and balanced people triggered by the mention of a specific topic.,kaikki_wiktionary,dictionary,noun,"derogatory, idiomatic, nonstandard",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000064,Dirty Harry,Dirty Harry,,"A police officer who is reckless, disregards practices and policies, or who practices vigilantism or uses excessive force.",kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000065,Disgusted of Tunbridge Wells,Disgusted of Tunbridge Wells,"The Post Office bitterly resents the criticism that is constantly voiced in the British press, both by ""Disgusteds of Tunbridge Wells"" and journalists.",A stereotypical vocal conservative curmudgeon.,kaikki_wiktionary,dictionary,noun,"UK, idiomatic",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000066,Domesday Book,Domesday Book,,A record of any other Norman survey.,kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000067,Donald Ducking it,Donald Ducking it,"Wear clothes on the bottom half of your body. During the lockdown, many people got caught out when they rose from their computer only to be discovered “Donald Ducking” it.",Wearing no clothes below the waist.,kaikki_wiktionary,dictionary,phrase,slang,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000068,Dunkirk spirit,Dunkirk spirit,,The spirit of the British public pulling together to overcome times of adversity.,kaikki_wiktionary,dictionary,noun,"UK, idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000069,Dutch courage,Dutch courage,"Another five minutes wait and we finally raise glasses in a toast to the evening. ‘So, what's the plan?’ ‘Well, we can go straight to the casino after this or we can get half a skinful of Dutch courage.’","An alcoholic drink, taken to bolster one's courage.",kaikki_wiktionary,dictionary,noun,"idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000070,Dutch reckoning,Dutch reckoning,"As if all Light of Reasoning were so shut up in Clavius his Brain, that because he does not see, the rest of Mankind must be blind; and what is that way of Reasoning that he betakes himself to, but by huddling the Principles of Geometry into Confusion, without order of method of Reasoning, to make a Conclusion, like a Dutch''' Reckoning of Allem-al?","A (falsified) bill that is not itemised, and that is unjustifiably high.",kaikki_wiktionary,dictionary,noun,"archaic, idiomatic, uncommon, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000071,Dutchman's breeches,Dutchman's breeches,,"Something proverbially blue, used in phrases relating to a clear blue sky, as in ""enough blue sky to make [or patch] a Dutchman's breeches"", etc.",kaikki_wiktionary,dictionary,noun,"colloquial, plural, plural-only",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000072,E ticket,E ticket,Definitely an E ticket.,Something very thrilling or exciting.,kaikki_wiktionary,dictionary,noun,"US, dated, idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000073,Earth to someone,Earth to someone,Hello! ...Hello? Earth to Daniel!,Used to call the attention of a distracted person.,kaikki_wiktionary,dictionary,phrase,humorous,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000074,Eat at Joe's,Eat at Joe's,"For most of the inhabitants of most parts of the world today, the notion of costume begins and often ends with some variant of ""Eat at Joe's.""",A generic commercial slogan.,kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000075,Eddie would go,Eddie would go,Just imagine what it must feel like to make it out of one of those Teahupoo tubes? ¶ *THAT'S* why we continue our quest and challenge. ¶ Eddie would go. ¶ (and we're right behind you Eddie),"Said of challenging surfing conditions, often as an encouragement.",kaikki_wiktionary,dictionary,phrase,Hawaii,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000076,Elizabethan collar,Elizabethan collar,,"A protective medical device worn by an animal, usually a cat or a dog, shaped like a truncated cone, to prevent the animal from biting or licking at its body or scratching at its head or neck while wounds or injuries heal.",kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000077,Elvis has left the building,Elvis has left the building,That '50s look can do one / Elvis has definitely left the fucking building,"A phrase used to announce the end of a show, usually one performed by an Elvis impersonator.",kaikki_wiktionary,dictionary,phrase,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000078,Emma Chisit,Emma Chisit,"Seizing this opportunity, I asked, “Emma Chisit?” Caramel immediately answered, “Twenty duluhs.” I was pleased by successfully speaking Australian.",How much does it cost?,kaikki_wiktionary,dictionary,phrase,"Australia, humorous",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000079,English or Spanish,English or Spanish,—English or Spanish? —English. —Whoever moves first is gay.,The question which commences this game.,kaikki_wiktionary,dictionary,phrase,"Internet, neologism",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000080,English rose,English rose,She is a true English rose.,"An Englishwoman of fine and delicate beauty, akin to that of a rose.",kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000081,Enigma machine,Enigma machine,No one needed an Enigma machine to figure out why Jimmy Carter was recalling his days aboard a nuclear submarine.,Something which decrypts or makes understandable something enigmatic.,kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000082,Erin go bragh,Erin go bragh,,Ireland forever.,kaikki_wiktionary,dictionary,phrase,,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000083,Evel Knievel,Evel Knievel,,A daredevil.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000084,Exhibit A,Exhibit A,The legislature can’t fight corruption when the politicians are Exhibit A.,"The foremost example, often with a negative connotation.",kaikki_wiktionary,dictionary,noun,"figuratively, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000085,F in the chat,F in the chat,"One hour ago, however, Gaules [pseudonym; Alexandre Borba Chiqueta] put out a mysterious tweet. ""If you have faith, leave your F in the chat,"" he wrote. The word F, in gaming culture, means to pay your respects when someone dies.","condolences, regret, or sympathy.",kaikki_wiktionary,dictionary,noun,"Internet, figuratively, idiomatic, in-plural",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000086,Father Charles goes down and ends battle,Father Charles goes down and ends battle,,A mnemonic for the order of sharps: F C G D A E B.,kaikki_wiktionary,dictionary,phrase,mnemonic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000087,Faustian bargain,Faustian bargain,"It has been remarked that all technology is a Faustian bargain: one obtains conveniences and sometimes luxuries, but in exchange one gets an increased potential for catastrophe.",A deal in which one focuses on present gain without considering the long-term consequences.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000088,Faustian deal,Faustian deal,Ali Abbasi’s feature — which has just been announced as part of the 2024 Cannes main competition — charts Trump’s ascent to power through what is described as a “Faustian deal” with the influential right-wing lawyer and political fixer Roy Cohn (seen in the still being portrayed by Jeremy Strong).,A Faustian bargain.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000089,Faustian dilemma,Faustian dilemma,"I find that many people see sustainability as a version of a Faustian dilemma; they often knowingly make choices that have immediate personal benefits, but in the long run are disastrous for all of us.","Having to choose between an option that promises short-term gain with foreseeable adverse long-term consequences, and an alternative option with no short-term gain and possibly even short-term suffering, but promising an eventually better future than the first option.",kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000090,Florence Nightingale,Florence Nightingale,"But there is no Florence Nightingale here . Patients , and those who pay good prices too , pass long , weary nights without attendance",An outstanding nurse,kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000091,Fort Knox,Fort Knox,"After the security upgrades, the facility was essentially Fort Knox.",A place which is very difficult to get into.,kaikki_wiktionary,dictionary,noun,idiomatic,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000092,Frankenstein's monster,Frankenstein's monster,They created a Frankenstein's monster which they did not imagine could grow out of their control.,"A creation that overpowers or slips out of the control of its creator, often proceeding to turn on its creator or harm others.",kaikki_wiktionary,dictionary,noun,figuratively,1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
idiomx_000093,French fact,French fact,"By highlighting the many fascinating French facts - those fabulous cultural idiosyncrasies that make the province so unique, though not in any political sense of the term — and vigorously denouncing all ethnical slights, the stent in the vein of English-speaking Canada's genetic hard-heartedness has been, thanks to literary anastomosis, rendered ineffective.","The presence of French Canada as a distinct cultural, linguistic, and political force within the Canadian Confederation.",kaikki_wiktionary,dictionary,noun,"Canada, countable, idiomatic, uncountable",1.0,source_only,wiktionary_cc_by_sa_4_0,en,en
