idiom_id,example,idiom_canonical_meaning,source,record_origin,license_source,example_language,meaning_language,meaning_arabic_language
idiomx_008274,"Despite a patchwork quilt of aid that includes scholarships, loans and an on-campus job, Kenner's father, a train conductor, must now pay $6,000 out of pocket to send his daughter to school.",Something having a haphazard or disorganized structure; something composed of seemingly random parts.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000182,,Indicates that the speaker wants to ask a question.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_007309,,Accurate.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008811,"When the lesson was finished, she put by her books and papers.",To remove (something) from the present context and into its proper place; (figurative) to reject or disregard.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012328,,What is that?,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004984,My old car has just about had it.,To be broken or worn out beyond repair.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010461,,To perform very badly in (a place).,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010091,I have the sneaking suspicion that he has already taken a decision about this.,"A premonition, or hunch; a belief based on little evidence.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008234,,To combine into a single compact entity.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008516,"2001 August 29, Matthew Jukes, ""A German gem"", The Daily Telegraph, available, There are things some people might wish to alter about [the restaurant] Die Jägerhütte (for myself, they could play the same tape for months and I still wouldn't slap a thigh).",To repeat exactly what one previously said or did.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003920,With my promotion this month I will continue my steady journey to the top of the food chain.,A hierarchy.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010071,,To remove irregularities or imperfections from.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002936,"At times I thought of throwing myself on the mercy of Wolf Larsen, but the vision of the mocking devil in his eyes that questioned life and sneered at it would come strong upon me and compel me to refrain.",A look that reflects an underlying trait that is associated with the devil,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001374,A shutout performance calls for a brilliant display between the pipes and Bill was right on the job.,Between the goalposts; with respect to or playing the position of goaltender.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008318,The least you can do is keep your pearly whites squeaky clean with a cutting-edge electric toothbrush.,Teeth.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000451,,"A conviction and/or punishment for a destructive, harmful or immoral act.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005246,It's time for me to hit the trail and be on my way.,To leave or depart.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000931,Polls show the prime minister’s popularity is at a low ebb.,At a low point; in a poor state; in a state of decline or depression.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006866,"He tends to make an exhibition of himself at parties, trying to draw attention.",To embarrass oneself or others in public by behaving foolishly.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010846,I took the liberty of adding your name to the list.,"To act on one's own authority, without asking for permission.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_011227,The boy was left with Bob Yancy mainly because nobody else would take him. Them's the facts. Now go on!,"Those are the facts, that's the truth, that's how it is.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_011831,They talk about how 'these places' [pornographic bookstores] are gathering spots for homosexuals. The implication is that if you close down 'these places' you get two birds with one stone.,Any two things that were performed or completed at the same time by one action.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004450,"Smith, who’s still mulling over ways that she can “go Galt,” sees a possibility for a moral stand. During the Iraq War, she read about a painter who’d painted less, reducing his income, in order to dodge taxes and thereby make sure he didn’t fund the war.","To become a recluse and stop contributing to society, especially in the form of taxes, by reducing one's work or productivity or by refusing to follow societal norms that one believes to be unjust.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001115,"Do you think he would get as much bang for the buck out of a fancier, more expensive car?",Efficiency; cost-effectiveness; value.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010762,Don't take it out on your husband if you had trouble with your boss at work.,To unleash one's anger on (a person or thing other than the one that caused it).,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012301,,What is the time of day according to your timepiece?,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_009784,,A short time; a short term.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012144,They agreed that their old disputes were water under the bridge and decided to make a fresh start.,"Something in the past that cannot be controlled or undone, but must be accepted, forgiven, or forgotten.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003718,"And as Miſs is ſo fond of fetching and carrying, you may tell her we are to have a private play among ourſelves, as the quality have: the Diſtruſtful Mother, 'tis call'd— […]","To carry gossip, news, etc., from one person to another; to bear tales, to gossip.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000386,,A breakfast consisting of a cigarette and a glass of water.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004106,"Two Whimsical Chimeras, that were abroad upon Adventure, happen'd to encounter, head to head, full-Butt, upon the way",headfirst with full force,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_009122,,May he/she rest in peace.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004420,I decided to give the new book a miss.,To forgo something.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_011852,,Used to coordinate a pulling effort.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006430,"The belief in a romantic chaos lends itself to pessimism, but it also lends itself to absolute self-assertion.",To be suitable for; be amenable to.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000312,,Indicates that the speaker is looking for a grocery store.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000488,,"By confessing to one's own faults, one will begin to make amends.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005045,"Why doesn't The St. Petersburg Times scrape together $30 million and purchase football's Tampa Bay Buccaneers? Then, when I tell John McKay how to coach, he'd listen or I'd have his hide.",To punish or subdue someone.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001840,"Look you, Amanda, you may build castles in the air, ""and fume, and fret, and grow thin and lean, and pale and ugly, if you please."" But I tell you, no man worth having is true to his wife, or can be true to his wife, or ever was, or will be so.","To have any desire, idea, or plan that is unlikely to be realized; to imagine visionary projects or schemes; to have an idle fancy or a pipe dream; to daydream.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_009037,It would be nice if more people from the outside [of prison] would let us know that we are wanted and cared for. That would bring a little ray of sunshine into otherwise bleak lives.,A person (or thing) that brings happiness into the lives of others.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008135,"The food was expensive, and nothing out of the ordinary.","Unusual or exceptional, especially for the better.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001594,,extremely angry; furious.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001023,"Shee clung about his necke, gave him ten kiſſes, / Toy'd vvith his locks, look'd babies in his eyes, […]",The minute reflection which one sees of oneself in the eyes of another.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005562,,"In a difficult situation, usually of one's own making; having a dilemma; faced with a problem or a set of problems for which there is no easy solution.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000840,They worked around the clock to finish the project on time.,"All the time, or seemingly all the time; constantly.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012085,"""But it is well to remember that walls have ears, and therefore to whisper.""","There is always a risk of being overheard, so one should be careful about what one says.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006388,"But after having been employed for her ""entire adult life,"" her experience of being uninsured leaves a sour taste in her mouth.",To give one an unpleasant feeling or memory.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008876,,"To judge someone unfairly as a member of a category of person, based on very few factors.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_009676,Wait and see old Caleb Quirk get into the box. I'll settle his hash in half a minute.,To physically or verbally subdue someone.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_011143,"“Come on then, you’ve done enough gardening for to-day. ‘The labourer is worthy of his hire’, you know. Come and be refreshed.”",People deserve to be rewarded for their efforts.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012277,,That is nonsense; that is patently untrue.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000829,Are your ears burning? We were just talking about you.,Asked of somebody who was not present but was the topic of discussion.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004149,,To join together in a group in order to overpower someone else.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012810,,"It is possible to learn new things, at any age; one should follow one's desires and dreams.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012852,"When schizophrenia and autism, for example, turned out to be largely heritable, we no longer blamed these disorders on cold or inept mothers. But, for such freighted traits as intelligence, liberals remained understandably anxious and continued to insist that differences—not just on a group level but on an individual one—were merely artifacts of an unequal environment. Conservatives pointed out that an à-la-carte approach to scientific findings was intellectually incoherent.",Selective; only choosing what one likes or desires.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004534,"Killed a man and hauled him off a mile and a half and threw him over at that place, and went on the scout, and never told anybody about it ?",To go into hiding.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_007776,"Being rather young at present—I am getting on in years, but still I am rather young—I have no particular adventures of my own to fall back upon.",Old; advanced in age.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006551,Some of Leonardo da Vinci’s inventions were light years ahead of their time.,A very long time.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002862,,The exact center.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008582,"Ducklings and chicks grow at a phenomenal rate, consuming a huge amount of food. And what goes in, must come out. […] They are pecking, peeping poop factories.",An animal whose defecation inconveniences humans.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003650,"Life in the big city was a far cry from his upbringing on a quiet, small farm.","A long distance, in terms of dissimilarity or difference.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005688,I'm having trouble tryng to keep things in perspective right now.,"In correct proportion relative to other objects, contexts, etc.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004748,"A competing branch argues, in turn, that crime policy—policing policy in particular—has become more punitive given the heightened power of penal bureaucrats together with the diminished influence of the persons and populations most often subject to the grinding wheels of penal administration.",Something that wears down or harms by attrition.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006481,,An invitation to fight.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012689,"You're acting like a frat boy, which is fun and all, but you're writing checks you can't cash.","To make promises one cannot keep, or to make boasts that are not true.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006500,[…] Men did not knovv hovv to mould and frame it [the doctrine of transubstantiation]; but at laſt it vvas licked into ſhape; the vvhole Philoſophy being caſt into ſuch a Mould as agreed vvith it.,To exert considerable effort to change (someone or something) into a desired state.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008110,,Drunk; intoxicated; inebriated.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012809,,A general expression of annoyance or exasperation with someone or something.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004708,"Along with the ads, industry worked to mobilize local politicians and business executives in what business groups called a ""grass tops"" campaign.","Of, related to, or involving local influential figures.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_011649,The teacher's pet was fairly high on the class totem pole.,A hierarchy or ranking of importance.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002128,"Blanche: ...Physical beauty is passing. A transitory possession. But beauty of the mind and richness of the spirit and tenderness of the heart—and I have all of those things—aren't taken away, but grow! Increase with the years! How strange that I should be called a destitute woman! When I have all of these treasures locked in my heart. [A choked sob comes from her] I think of myself as a very, very rich woman! But I have been foolish—casting my pearls before swine!",To give things of value to those who will not understand or appreciate them.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001521,"It seems as though you had come to be so very near to us; and blood is thicker than water, is it not? If cousins are not friends, who can be?",Family relations and loyalties are stronger than relationships with people who are not family members.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_009725,"For he to day that sheds his blood with me, / Shall be my brother:","To kill or wound, or be wounded or killed, in violence.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002265,,To verify the source or accuracy of something.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005345,[…] a deputy governor of China’s central bank pointed out that China no longer hoovers up dollar reserves with its past abandon.,To avidly absorb something as if by a vacuum cleaner.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003185,"He was a queer shoot, again, in his unkempt longish hair and slovenly clothes, a sort of very vulgar down-at-heel American in appearance.","Shabbily dressed, slovenly; impoverished; shabby, dilapidated.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005200,"If it be true that history repeats itself, then assuredly a narrative of domestic trials, of political emergencies, and of religious animosities can never be out of date, since men and women still bear in their hearts, passions as vindictive, a patriotism as ardent, and, let us hope, a piety as sincere as distinguished, in the sixteenth century, Philip and Charlotte du Plessis de Mornay.",Things that have happened in the past will or tend to happen again in one way or another.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004100,,Victimized by bad luck.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001262,,"Being physically attractive may have its benefits, but it is not enough to make a living.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003099,"So complex was the scheme that neither blacks nor whites could say for certain who had won. ""A dog's breakfast,"" cried Laborite M.P. James Callaghan. ""I say frankly that I do not begin to understand it.""",An unappealing mixture; a disorderly situation; a mess.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000361,,Join Mastodon; a call for Twitter users to migrate to Mastodon.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012406,"'Where there's no sense there's no feeling,' they would say when they had hurt some creature by accident or through carelessness. By sense they meant wits or understanding, and these they imagined purely human attributes.",A living thing of little or no intelligence does not feel pain or other negative sensations.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000400,,"A woman of African heritage, usually a conceited or unpleasant one.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002088,"However curious it may seem for an oil-ship to be borrowing oil on the whale-ground, and however much it may invertedly contradict the old proverb about carrying coals to Newcastle, yet sometimes such a thing really happens; and in the present case Captain Derick De Deer did indubitably conduct a lamp-feeder as Flask did declare.",To do something that is unneeded or redundant.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006188,"Daevid believes the visa problem that removed him so abruptly from The Soft Machine in late August 1967 probably accelerated an inevitable split. He believes his role in the band was that of catalyst — and, as he notes, you've got to kill your heroes.","One should not idolize specific people (particularly celebrities), as this will distort one's perception of those one idolizes.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006335,"You should lay a foundation, even if you can't finish the project.",To make a start.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003252,"They listened to him in rapt silence, drinking in his every word.",To absorb; to be completely attentive to.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_007325,You'll never find the paper you need on her desk. You're looking for a needle in a haystack.,Something that is difficult or impossible to locate.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005578,"He had a lot to say, but his answer, in a nutshell, was no.",In summary; briefly or simply.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003574,"I got trapped in an absurd, ""failing upwards"" trajectory. Heathers got me work on a bigger film called Ford Fairlane. When that movie failed, I was given a post on an even bigger film, Hudson Hawk. After that one really, really failed, I was rewarded with the assignment of Batman Returns.",To advance in one's career despite failure or incompetence.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_009390,"Run away with me Lost souls in revelry (hey) Running wild and running free Two kids, you and me (hey)",To go unchecked; to be out of control.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_007268,,Not bad; implying that life is not bad and one should not complain about it.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005772,"We slipped the release date six months, I mean, we had to, OK? But even then, it needed more time in the oven.",in development,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012471,"He noted various indications that a somewhat more moderate view had emerged of the basic ""who-whom"" problem that Lenin had so starkly formulated […]","Who will defeat or dominate whom? A Bolshevist principle or slogan, urging action against the capitalists.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002070,"In this instance the departure is radical: this is a real car crash of a ballad, impacted (the beginning and end have crushed together) and distorted, yet still recognizable.","A mess or disaster, especially one that attracts a lot of attention.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002985,"Brüno was a case of diminishing returns, intermittently amusing but not nearly as bracing or funny as Borat—it didn’t help that Brüno was the most thinly conceived of all his Da Ali G Show characters—and the lead-up to Baron Cohen’s new comedy, The Dictator, made it look like he’d boxed himself into a corner.","A condition in which additional inputs into an organization, project or process produce progressively fewer or lower-quality additional outputs, and may, in extreme cases, cause the total quantity or quality of outputs to decrease.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004027,to give [a] free rein to,"The absence of constraints; freedom to act, decide, or speak.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_002583,"If only the Bush team connected the dots, it would see what a nutty war on terrorism it is fighting, explains Mr. Prestowitz.","To make connections in one's mind, in order to arrive at a more holistic understanding of a situation.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001040,"“Well, that's it. Let's reactivate him. Wake up!” “[Yawns] Hey, chumps and chumpettes. Did you get the bomb out? Can I go back to saying the word I love to say?” “I'm sorry, but we couldn't remove it.” “It's stuck in there with glue or something. I don't know.” “Well, this is just great. What's the point of living if I can't say ass? [Gasps] Hey! I didn't blow up! Ass! Ass! Ass! Ass! Ass! All right! I'm back in the saddle.” “We couldn't disarm the bomb, so we reset the word that triggers it.” “It's from the list of words you almost never say.” “That's using your ass. So what's the word?” “We think it's better if you don't know.” “Oh, come on. I'm not going to say it. Please? Ooh, is it ""please""?” “Nope.” “Hmm. Words I never say. Oh. I know. ""Thanks.""” “Bender, stop trying to destroy the world.” “Wait, wait, wait, wait. Is it ""sorry""? No. ""Funderful""? Mmm... ""Non-alcoholic""?” “Quit it.” “Bender.” “Stop it, mon.” “Enough already.” “""Compassion""? ""Shrimp toast""? ""Antiquing""?” [Explosion] “I'm all right.”","Returned to one's normal, healthy, functioning state, as from an interruption or setback.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005822,,More can be accomplished by a team with a common goal than by individuals.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003316,They did a dry run of the demonstration before showing it to the CEO.,"A practice or rehearsal; especially, one that goes through all the motions of a physical process but without the raw material or workpiece present.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010222,The school has introduced provisions for pupils with special needs.,"Needs for special care, services or accommodations for people with disabilities.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008881,"O.D.'d, the coroner said. But Meg thought there was more to it. And there was. Much more. Thinking this might be a lead, Meg's friend Joanna, a lesbian and a prostitute, put her on to a bar called Kinky's. Kinky's is where pre-pubescent girls got recruited for kiddy porn films and working the streets.",To show; to draw someone's attention to something useful or interesting.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004095,The thought that she might be cheating on me is really fucking with me.,"To affect seriously or disturbingly; give someone a hard time; to trouble, harass.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003693,,"To buy or sell products labeled as ""Made in China.""",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_003188,I had to run down cellar to turn off the water main.,Downstairs; the opposite of upstairs.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010347,"Pop music comes and goes, but classical music has stood the test of time.",To remain useful or valued over a long period of time; to last a long time.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006024,"Taking advantage of advance press releases, gabby Walter Winchell jumped the gun a full two weeks by announcing in his radio period and tabloid column that the 1933-34 prizewinner was Men in White by Sidney Kingsley.",To act or begin too soon or without due caution.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_012092,"1970, John Fogerty (Creedence Clearwater Revival), ""Have You Ever Seen the Rain?"" I want to know, have you ever seen the rain / Comin' down on a sunny day?",To ask (used as a dialogue marker or introductory statement).,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006129,"For my father's sake, I thought I must keep up appearances, but the food stuck in my throat, and I could not swallow another mouthful.","To artificially maintain an outward sign of normality; to maintain an appearance of wealth, comfort, or propriety.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_001143,"The class has a number of prerequisites, so sadly there is a barrier to entry.","An impediment that prohibits the use, adoption, application, etc. of (something).",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_008977,I have been racking my brain all day trying to think of a birthday present for her.,To struggle to think of or remember something.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_010783,"In 1977 American auto industry leaders threatened to ""take their ball and go home"" by shutting down production of 1978 models unless they received yet a third delay in meeting the auto emission standards of the Clean Air Act.","To cease participating in an activity that has turned to one's disadvantage, especially out of spite, or in a way that prevents others from participating as well.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_006884,Near-synonym: come good,"To achieve substantial success in life, often in business.",kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004719,"First his mother passed into the Great Beyond, and by the time the poignant misery of his loss had become a dull ache, his father had also solved the Great Riddle.",the afterlife.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_004510,Would you like to go halves on the grocery bill?,To divide equally between two parties.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_000291,,Indicates that the speaker is blind.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
idiomx_005358,"Volumes would barely suffice to recount the varied horrors of horrors of this disastrous insurrection, where the worst passions of human nature were brought to the aid of the infernal work of destruction.",Something that is among the most horrifying things imaginable.,kaikki_wiktionary,source_only,wiktionary_cc_by_sa_4_0,en,en,ar
